Solution Label,Type,Element,Flags,Soln Conc,Units,Corr Con,Units,Int
UMES 37431,Samp,K MultiCal,,-,ppm,2.31,-,-
UMES 37431,Samp,Mg 280.270,,2.46,ppm,2.46,ppm,308234
UMES 37431,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,511.9
UMES 37431,Samp,Mo 204.598,v,0.02,ppm,0.02,ppm,135.7
UMES 37431,Samp,Na MultiCal,,-,ppm,3.8,-,-
UMES 37431,Samp,Ni 230.299,,0,ppm,0,ppm,106.4
UMES 37431,Samp,P multical,,-,ppm,0.09,-,-
UMES 37431,Samp,S 181.972,,4.06,ppm,4.06,ppm,1689
UMES 37431,Samp,Zn 206.200,,0.07,ppm,0.07,ppm,322.7
UMES 37432,Samp,Al 394.401,,0.24,ppm,0.24,ppm,7725
UMES 37432,Samp,Ca 422.673,,3.42,ppm,3.42,ppm,1519035
UMES 37432,Samp,Cu 324.754,uv,0,ppm,0,ppm,806.7
UMES 37432,Samp,Fe 238.204,,0.06,ppm,0.06,ppm,2513
UMES 37432,Samp,K MultiCal,,-,ppm,1.71,-,-
UMES 37432,Samp,Mg 280.270,,1.14,ppm,1.14,ppm,142269
UMES 37432,Samp,Mn 259.372,v,0,ppm,0,ppm,297
UMES 37432,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,111.3
UMES 37432,Samp,Na MultiCal,,-,ppm,2.09,-,-
UMES 37432,Samp,Ni 230.299,uv,0,ppm,0,ppm,87.76
UMES 37432,Samp,P multical,,-,ppm,0.2,-,-
UMES 37432,Samp,S 181.972,,1.85,ppm,1.85,ppm,797.3
UMES 37432,Samp,Zn 206.200,,0.06,ppm,0.06,ppm,294.1
UMES 37433,Samp,Al 394.401,,0.33,ppm,0.33,ppm,10180
UMES 37433,Samp,Ca 422.673,,3.17,ppm,3.17,ppm,1415850
UMES 37433,Samp,Cu 324.754,uv,0,ppm,0,ppm,670.4
UMES 37433,Samp,Fe 238.204,,0.1,ppm,0.1,ppm,3852
UMES 37433,Samp,K MultiCal,,-,ppm,2.06,-,-
UMES 37433,Samp,Mg 280.270,,1.09,ppm,1.09,ppm,136299
UMES 37433,Samp,Mn 259.372,v,0,ppm,0,ppm,260.5
UMES 37433,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,99.59
UMES 37433,Samp,Na MultiCal,,-,ppm,1.72,-,-
UMES 37433,Samp,Ni 230.299,uv,0,ppm,0,ppm,91.96
UMES 37433,Samp,P multical,,-,ppm,0.35,-,-
UMES 37433,Samp,S 181.972,,1.16,ppm,1.16,ppm,516.8
UMES 37433,Samp,Zn 206.200,,0.03,ppm,0.03,ppm,178.1
UMES 37434,Samp,Al 394.401,,0.27,ppm,0.27,ppm,8606
UMES 37434,Samp,Ca 422.673,,3.71,ppm,3.71,ppm,1634225
UMES 37434,Samp,Cu 324.754,uv,0,ppm,0,ppm,684.6
UMES 37434,Samp,Fe 238.204,,0.07,ppm,0.07,ppm,2819
UMES 37434,Samp,K MultiCal,,-,ppm,2.17,-,-
UMES 37434,Samp,Mg 280.270,,1.26,ppm,1.26,ppm,157093
UMES 37434,Samp,Mn 259.372,v,0,ppm,0,ppm,206.9
UMES 37434,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,82.35
UMES 37434,Samp,Na MultiCal,,-,ppm,1.82,-,-
UMES 37434,Samp,Ni 230.299,uv,0,ppm,0,ppm,75.29
UMES 37434,Samp,P multical,,-,ppm,0.35,-,-
UMES 37434,Samp,S 181.972,,1.28,ppm,1.28,ppm,566.7
UMES 37434,Samp,Zn 206.200,,0.03,ppm,0.03,ppm,153.7
UMES 37435,Samp,Al 394.401,,0.43,ppm,0.43,ppm,12829
UMES 37435,Samp,Ca 422.673,,3.76,ppm,3.76,ppm,1653863
UMES 37435,Samp,Cu 324.754,uv,0,ppm,0,ppm,711.8
UMES 37435,Samp,Fe 238.204,,0.14,ppm,0.14,ppm,5579
UMES 37435,Samp,K MultiCal,,-,ppm,2.45,-,-
UMES 37435,Samp,Mg 280.270,,1.3,ppm,1.3,ppm,161900
UMES 37435,Samp,Mn 259.372,v,0,ppm,0,ppm,291.6
UMES 37435,Samp,Mo 204.598,uv,0.01,ppm,0.01,ppm,75.42
UMES 37435,Samp,Na MultiCal,,-,ppm,1.66,-,-
UMES 37435,Samp,Ni 230.299,uv,0,ppm,0,ppm,69.07
UMES 37435,Samp,P multical,,-,ppm,0.43,-,-
UMES 37435,Samp,S 181.972,,1.08,ppm,1.08,ppm,484.8
UMES 37435,Samp,Zn 206.200,,0.04,ppm,0.04,ppm,193.2
UMES 37436,Samp,Al 394.401,,0.27,ppm,0.27,ppm,8574
UMES 37436,Samp,Ca 422.673,,4.07,ppm,4.07,ppm,1778874
UMES 37436,Samp,Cu 324.754,uv,0,ppm,0,ppm,782.9
UMES 37436,Samp,Fe 238.204,,0.07,ppm,0.07,ppm,3002
UMES 37436,Samp,K MultiCal,,-,ppm,2.64,-,-
UMES 37436,Samp,Mg 280.270,,1.4,ppm,1.4,ppm,175463
UMES 37436,Samp,Mn 259.372,v,0,ppm,0,ppm,179
UMES 37436,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,78.06
UMES 37436,Samp,Na MultiCal,,-,ppm,1.64,-,-
UMES 37436,Samp,Ni 230.299,uv,0,ppm,0,ppm,71.19
UMES 37436,Samp,P multical,,-,ppm,0.38,-,-
UMES 37436,Samp,S 181.972,,1.08,ppm,1.08,ppm,485.7
UMES 37436,Samp,Zn 206.200,,0.02,ppm,0.02,ppm,138.1
UMES 37437,Samp,Al 394.401,,0.31,ppm,0.31,ppm,9696
UMES 37437,Samp,Ca 422.673,,4.27,ppm,4.27,ppm,1860450
UMES 37437,Samp,Cu 324.754,uv,0,ppm,0,ppm,842
UMES 37437,Samp,Fe 238.204,,0.08,ppm,0.08,ppm,3199
UMES 37437,Samp,K MultiCal,,-,ppm,2.68,-,-
UMES 37437,Samp,Mg 280.270,,1.48,ppm,1.48,ppm,185120
UMES 37437,Samp,Mn 259.372,v,0,ppm,0,ppm,219.4
UMES 37437,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,88.1
UMES 37437,Samp,Na MultiCal,,-,ppm,1.66,-,-
UMES 37437,Samp,Ni 230.299,uv,0,ppm,0,ppm,96.7
UMES 37437,Samp,P multical,,-,ppm,0.39,-,-
UMES 37437,Samp,S 181.972,,1.22,ppm,1.22,ppm,539.8
UMES 37437,Samp,Zn 206.200,,0.03,ppm,0.03,ppm,182.8
UMES 37438,Samp,Al 394.401,,0.35,ppm,0.35,ppm,10757
UMES 37438,Samp,Ca 422.673,,4.79,ppm,4.79,ppm,2064294
UMES 37438,Samp,Cu 324.754,uv,0,ppm,0,ppm,714.3
UMES 37438,Samp,Fe 238.204,,0.14,ppm,0.14,ppm,5749
UMES 37438,Samp,K MultiCal,,-,ppm,2.69,-,-
UMES 37438,Samp,Mg 280.270,,1.66,ppm,1.66,ppm,207661
UMES 37438,Samp,Mn 259.372,v,0,ppm,0,ppm,357.5
UMES 37438,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,79.03
UMES 37438,Samp,Na MultiCal,,-,ppm,1.97,-,-
UMES 37438,Samp,Ni 230.299,uv,0,ppm,0,ppm,53.26
UMES 37438,Samp,P multical,,-,ppm,0.37,-,-
UMES 37438,Samp,S 181.972,,1.48,ppm,1.48,ppm,647.6
UMES 37438,Samp,Zn 206.200,,0.04,ppm,0.04,ppm,213.6
UMES 37439,Samp,Al 394.401,,0.25,ppm,0.25,ppm,8049
UMES 37439,Samp,Ca 422.673,,5.46,ppm,5.46,ppm,2322306
UMES 37439,Samp,Cu 324.754,uv,0,ppm,0,ppm,822.4
UMES 37439,Samp,Fe 238.204,,0.26,ppm,0.26,ppm,10368
UMES 37439,Samp,K MultiCal,,-,ppm,3.23,-,-
UMES 37439,Samp,Mg 280.270,,1.87,ppm,1.87,ppm,233880
UMES 37439,Samp,Mn 259.372,v,0,ppm,0,ppm,269.5
UMES 37439,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,91.67
UMES 37439,Samp,Na MultiCal,,-,ppm,2.22,-,-
UMES 37439,Samp,Ni 230.299,uv,0,ppm,0,ppm,76.02
UMES 37439,Samp,P multical,,-,ppm,0.32,-,-
UMES 37439,Samp,S 181.972,,1.9,ppm,1.9,ppm,815.1
UMES 37439,Samp,Zn 206.200,,0.05,ppm,0.05,ppm,257.1
UMES 37440,Samp,Al 394.401,,0.26,ppm,0.26,ppm,8287
UMES 37440,Samp,Ca 422.673,,6.02,ppm,6.02,ppm,2531797
UMES 37440,Samp,Cu 324.754,uv,0,ppm,0,ppm,711.7
UMES 37440,Samp,Fe 238.204,,0.07,ppm,0.07,ppm,2819
UMES 37440,Samp,K MultiCal,,-,ppm,2.64,-,-
UMES 37440,Samp,Mg 280.270,,2.03,ppm,2.03,ppm,254662
UMES 37440,Samp,Mn 259.372,v,0,ppm,0,ppm,224.8
UMES 37440,Samp,Mo 204.598,uv,0.01,ppm,0.01,ppm,73.12
UMES 37440,Samp,Na MultiCal,,-,ppm,2.42,-,-
UMES 37440,Samp,Ni 230.299,uv,0,ppm,0,ppm,72.72
UMES 37440,Samp,P multical,,-,ppm,0.28,-,-
UMES 37440,Samp,S 181.972,,2.34,ppm,2.34,ppm,991.9
UMES 37440,Samp,Zn 206.200,,0.04,ppm,0.04,ppm,207.9
UMES 37441,Samp,Al 394.401,,0.29,ppm,0.29,ppm,9105
UMES 37441,Samp,Ca 422.673,,7.39,ppm,7.39,ppm,3026671
UMES 37441,Samp,Cu 324.754,uv,0,ppm,0,ppm,777.9
UMES 37441,Samp,Fe 238.204,,0.09,ppm,0.09,ppm,3464
