"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"V D36_19-083","Samp","Ni 230.299","uv",-0.01,"ppm",-0.01,"ppm",194.5
"V D36_19-083","Samp","P multical","","-","ppm",0.32,"-","-"
"V D36_19-083","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",490.6
"V D36_19-083","Samp","Zn 206.200","",0.04,"ppm",0.04,"ppm",147.7
"V D36_19-084","Samp","Al 394.401","",1.60,"ppm",1.60,"ppm",22148
"V D36_19-084","Samp","Ca 422.673","",5.72,"ppm",5.72,"ppm",600942
"V D36_19-084","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",855.9
"V D36_19-084","Samp","Fe 238.204","",2.90,"ppm",2.90,"ppm",67182
"V D36_19-084","Samp","K MultiCal","","-","ppm",2.99,"-","-"
"V D36_19-084","Samp","Mg 280.270","",1.87,"ppm",1.87,"ppm",114808
"V D36_19-084","Samp","Mn 259.372","",0.24,"ppm",0.24,"ppm",10797
"V D36_19-084","Samp","Mo 204.598","uv",0.01,"ppm",0.01,"ppm",106.8
"V D36_19-084","Samp","Na MultiCal","","-","ppm",3.40,"-","-"
"V D36_19-084","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",109.4
"V D36_19-084","Samp","P multical","","-","ppm",0.15,"-","-"
"V D36_19-084","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",497.5
"V D36_19-084","Samp","Zn 206.200","",0.03,"ppm",0.03,"ppm",102.0
"V D36_19-085","Samp","Al 394.401","",0.71,"ppm",0.71,"ppm",9918
"V D36_19-085","Samp","Ca 422.673","",5.61,"ppm",5.61,"ppm",589412
"V D36_19-085","Samp","Cu 324.754","uv",-0.00,"ppm",-0.00,"ppm",823.8
"V D36_19-085","Samp","Fe 238.204","",1.18,"ppm",1.18,"ppm",27281
"V D36_19-085","Samp","K MultiCal","","-","ppm",2.27,"-","-"
"V D36_19-085","Samp","Mg 280.270","",1.94,"ppm",1.94,"ppm",119509
"V D36_19-085","Samp","Mn 259.372","",0.09,"ppm",0.09,"ppm",3665
"V D36_19-085","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",105.2
"V D36_19-085","Samp","Na MultiCal","","-","ppm",3.78,"-","-"
"V D36_19-085","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",121.2
"V D36_19-085","Samp","P multical","","-","ppm",0.08,"-","-"
"V D36_19-085","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",506.3
"V D36_19-085","Samp","Zn 206.200","",0.01,"ppm",0.01,"ppm",69.04
"V D36_19-086","Samp","Al 394.401","",6.72,"ppm",6.72,"ppm",92237
"V D36_19-086","Samp","Ca 422.673","",5.58,"ppm",5.58,"ppm",586818
"V D36_19-086","Samp","Cu 324.754","",0.01,"ppm",0.01,"ppm",1039
"V D36_19-086","Samp","Fe 238.204","",12.09,"ppm",12.09,"ppm",279260
"V D36_19-086","Samp","K MultiCal","","-","ppm",2.94,"-","-"
"V D36_19-086","Samp","Mg 280.270","",2.75,"ppm",2.75,"ppm",169366
"V D36_19-086","Samp","Mn 259.372","",0.78,"ppm",0.78,"ppm",36834
"V D36_19-086","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",96.45
"V D36_19-086","Samp","Na MultiCal","","-","ppm",3.03,"-","-"
"V D36_19-086","Samp","Ni 230.299","uv",0.00,"ppm",0.00,"ppm",240.1
"V D36_19-086","Samp","P multical","","-","ppm",0.44,"-","-"
"V D36_19-086","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",508.1
"V D36_19-086","Samp","Zn 206.200","",0.05,"ppm",0.05,"ppm",166.2
"V D36_19-087","Samp","Al 394.401","",22.58,"ppm",22.58,"ppm",306860
"V D36_19-087","Samp","Ca 422.673","",8.87,"ppm",8.87,"ppm",920842
"V D36_19-087","Samp","Cu 324.754","",0.03,"ppm",0.03,"ppm",1844
"V D36_19-087","Samp","Fe 238.204","",48.39,"ppm",48.39,"ppm",1097473
"V D36_19-087","Samp","K MultiCal","","-","ppm",5.02,"-","-"
"V D36_19-087","Samp","Mg 280.270","",4.72,"ppm",4.72,"ppm",291211
"V D36_19-087","Samp","Mn 259.372","",4.12,"ppm",4.12,"ppm",196526
"V D36_19-087","Samp","Mo 204.598","uv",0.01,"ppm",0.01,"ppm",90.79
"V D36_19-087","Samp","Na MultiCal","","-","ppm",2.46,"-","-"
"V D36_19-087","Samp","Ni 230.299","",0.06,"ppm",0.06,"ppm",648.4
"V D36_19-087","Samp","P multical","","-","ppm",1.63,"-","-"
"V D36_19-087","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",566.6
"V D36_19-087","Samp","Zn 206.200","",0.17,"ppm",0.17,"ppm",510.5
"V D36_19-088","Samp","Al 394.401","",3.71,"ppm",3.71,"ppm",51076
"V D36_19-088","Samp","Ca 422.673","",4.23,"ppm",4.23,"ppm",448281
"V D36_19-088","Samp","Cu 324.754","uv",0.00,"ppm",0.00,"ppm",897.9
"V D36_19-088","Samp","Fe 238.204","",7.05,"ppm",7.05,"ppm",163224
"V D36_19-088","Samp","K MultiCal","","-","ppm",2.19,"-","-"
"V D36_19-088","Samp","Mg 280.270","",2.10,"ppm",2.10,"ppm",129260
"V D36_19-088","Samp","Mn 259.372","",0.45,"ppm",0.45,"ppm",20800
"V D36_19-088","Samp","Mo 204.598","uv",0.00,"ppm",0.00,"ppm",87.81
"V D36_19-088","Samp","Na MultiCal","","-","ppm",2.83,"-","-"
"V D36_19-088","Samp","Ni 230.299","uv",-0.01,"ppm",-0.01,"ppm",142.8
"V D36_19-088","Samp","P multical","","-","ppm",0.22,"-","-"
"V D36_19-088","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",425.4
"V D36_19-088","Samp","Zn 206.200","",0.03,"ppm",0.03,"ppm",119.6
"V D36_19-089","Samp","Al 394.401","",2.90,"ppm",2.90,"ppm",40005
"V D36_19-089","Samp","Ca 422.673","",3.90,"ppm",3.90,"ppm",414112
"V D36_19-089","Samp","Cu 324.754","uv",0.00,"ppm",0.00,"ppm",882.4
"V D36_19-089","Samp","Fe 238.204","",4.72,"ppm",4.72,"ppm",109482
"V D36_19-089","Samp","K MultiCal","","-","ppm",2.44,"-","-"
"V D36_19-089","Samp","Mg 280.270","",1.62,"ppm",1.62,"ppm",99551
"V D36_19-089","Samp","Mn 259.372","",0.27,"ppm",0.27,"ppm",12412
"V D36_19-089","Samp","Mo 204.598","uv",-0.00,"ppm",-0.00,"ppm",70.17
"V D36_19-089","Samp","Na MultiCal","","-","ppm",2.36,"-","-"
