"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"LTAR19-005","Samp","S 181.972","",1.80,"ppm",1.80,"ppm",798.6
"LTAR19-005","Samp","Zn 206.200","",0.46,"ppm",0.46,"ppm",2201
"LTAR19-006","Samp","Mg Multical","","-","ppm",5.55,"-","-"
"LTAR19-006","Samp","Ca Multical","o","-","ppm",6.28,"-","-"
"LTAR19-006","Samp","Al 394.401","",89.68,"ppm",89.68,"ppm",2192777
"LTAR19-006","Samp","Cu 324.754","",0.14,"ppm",0.14,"ppm",9580
"LTAR19-006","Samp","Fe 238.204","",212.4,"ppm",212.4,"ppm",7917441
"LTAR19-006","Samp","K MultiCal","","-","ppm",5.09,"-","-"
"LTAR19-006","Samp","Mn 259.372","",4.64,"ppm",4.64,"ppm",502311
"LTAR19-006","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",162.9
"LTAR19-006","Samp","Na MultiCal","","-","ppm",0.61,"-","-"
"LTAR19-006","Samp","Ni 230.299","",0.17,"ppm",0.17,"ppm",2175
"LTAR19-006","Samp","P multical","","-","ppm",4.64,"-","-"
"LTAR19-006","Samp","S 181.972","",1.19,"ppm",1.19,"ppm",540.7
"LTAR19-006","Samp","Zn 206.200","",0.43,"ppm",0.43,"ppm",2085
"LTAR19-007","Samp","Mg Multical","","-","ppm",7.05,"-","-"
"LTAR19-007","Samp","Ca Multical","o","-","ppm",6.40,"-","-"
"LTAR19-007","Samp","Al 394.401","",115.3,"ppm",115.3,"ppm",2721235
"LTAR19-007","Samp","Cu 324.754","",0.12,"ppm",0.12,"ppm",8471
"LTAR19-007","Samp","Fe 238.204","",162.7,"ppm",162.7,"ppm",6517633
"LTAR19-007","Samp","K MultiCal","","-","ppm",8.06,"-","-"
"LTAR19-007","Samp","Mn 259.372","",4.85,"ppm",4.85,"ppm",525259
"LTAR19-007","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",137.6
"LTAR19-007","Samp","Na MultiCal","","-","ppm",0.70,"-","-"
"LTAR19-007","Samp","Ni 230.299","",0.12,"ppm",0.12,"ppm",1575
"LTAR19-007","Samp","P multical","","-","ppm",5.15,"-","-"
"LTAR19-007","Samp","S 181.972","",1.75,"ppm",1.75,"ppm",775.8
"LTAR19-007","Samp","Zn 206.200","",0.38,"ppm",0.38,"ppm",1852
"LTAR19-008","Samp","Mg Multical","","-","ppm",8.00,"-","-"
"LTAR19-008","Samp","Ca Multical","o","-","ppm",6.41,"-","-"
"LTAR19-008","Samp","Al 394.401","",129.3,"ppm",129.3,"ppm",2992444
"LTAR19-008","Samp","Cu 324.754","",0.13,"ppm",0.13,"ppm",8879
"LTAR19-008","Samp","Fe 238.204","x",274.1,"ppm",274.1,"ppm",9309888
"LTAR19-008","Samp","K MultiCal","","-","ppm",7.32,"-","-"
"LTAR19-008","Samp","Mn 259.372","",6.87,"ppm",6.87,"ppm",740861
"LTAR19-008","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",150.8
"LTAR19-008","Samp","Na MultiCal","","-","ppm",0.66,"-","-"
"LTAR19-008","Samp","Ni 230.299","",0.14,"ppm",0.14,"ppm",1872
"LTAR19-008","Samp","P multical","","-","ppm",5.32,"-","-"
"LTAR19-008","Samp","S 181.972","",1.44,"ppm",1.44,"ppm",645.1
"LTAR19-008","Samp","Zn 206.200","",0.40,"ppm",0.40,"ppm",1924
"LTAR19-009","Samp","Mg Multical","","-","ppm",6.27,"-","-"
"LTAR19-009","Samp","Ca Multical","o","-","ppm",6.40,"-","-"
"LTAR19-009","Samp","Al 394.401","",83.62,"ppm",83.62,"ppm",2061485
"LTAR19-009","Samp","Cu 324.754","",0.11,"ppm",0.11,"ppm",7746
"LTAR19-009","Samp","Fe 238.204","",146.1,"ppm",146.1,"ppm",5989539
"LTAR19-009","Samp","K MultiCal","","-","ppm",6.70,"-","-"
"LTAR19-009","Samp","Mn 259.372","",4.69,"ppm",4.69,"ppm",507954
"LTAR19-009","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",126.6
"LTAR19-009","Samp","Na MultiCal","","-","ppm",0.65,"-","-"
"LTAR19-009","Samp","Ni 230.299","",0.12,"ppm",0.12,"ppm",1565
"LTAR19-009","Samp","P multical","","-","ppm",5.21,"-","-"
"LTAR19-009","Samp","S 181.972","",1.67,"ppm",1.67,"ppm",743.2
"LTAR19-009","Samp","Zn 206.200","",0.37,"ppm",0.37,"ppm",1808
"LTAR19-010","Samp","Mg Multical","","-","ppm",6.25,"-","-"
"LTAR19-010","Samp","Ca Multical","o","-","ppm",6.28,"-","-"
"LTAR19-010","Samp","Al 394.401","",84.16,"ppm",84.16,"ppm",2073410
"LTAR19-010","Samp","Cu 324.754","",0.09,"ppm",0.09,"ppm",6257
"LTAR19-010","Samp","Fe 238.204","",158.3,"ppm",158.3,"ppm",6382891
"LTAR19-010","Samp","K MultiCal","","-","ppm",5.25,"-","-"
"LTAR19-010","Samp","Mn 259.372","",3.66,"ppm",3.66,"ppm",396917
"LTAR19-010","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",101.5
"LTAR19-010","Samp","Na MultiCal","","-","ppm",0.71,"-","-"
"LTAR19-010","Samp","Ni 230.299","",0.11,"ppm",0.11,"ppm",1521
"LTAR19-010","Samp","P multical","","-","ppm",4.45,"-","-"
"LTAR19-010","Samp","S 181.972","",1.12,"ppm",1.12,"ppm",509.0
"LTAR19-010","Samp","Zn 206.200","",0.34,"ppm",0.34,"ppm",1668
"LTAR19-011","Samp","Mg Multical","","-","ppm",8.03,"-","-"
"LTAR19-011","Samp","Ca Multical","o","-","ppm",6.74,"-","-"
"LTAR19-011","Samp","Al 394.401","",97.22,"ppm",97.22,"ppm",2352964
"LTAR19-011","Samp","Cu 324.754","",0.13,"ppm",0.13,"ppm",8779
"LTAR19-011","Samp","Fe 238.204","",135.3,"ppm",135.3,"ppm",5629128
"LTAR19-011","Samp","K MultiCal","","-","ppm",8.19,"-","-"
"LTAR19-011","Samp","Mn 259.372","",8.52,"ppm",8.52,"ppm",916501
